epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,116.612,1.24538,0.90325,0.99469,0.31164,0.000236983,0.000236983,0.000236983
2,232.454,0.33628,0.92665,0.99438,0.25328,0.000459308,0.000459308,0.000459308
3,339.471,0.26298,0.9407,0.99625,0.17662,0.000665926,0.000665926,0.000665926
4,446.791,0.23807,0.94101,0.99625,0.18391,0.000643314,0.000643314,0.000643314
5,554.152,0.19984,0.94288,0.99532,0.1773,0.000619752,0.000619752,0.000619752
6,661.472,0.18373,0.94694,0.99532,0.16309,0.00059619,0.00059619,0.00059619
7,774.109,0.15888,0.94788,0.99532,0.2431,0.000572628,0.000572628,0.000572628
8,922.928,0.14639,0.95506,0.99688,0.14249,0.000549066,0.000549066,0.000549066
9,1029.7,0.13903,0.9535,0.99688,0.15396,0.000525504,0.000525504,0.000525504
10,1136.42,0.13316,0.9535,0.99657,0.16767,0.000501942,0.000501942,0.000501942
11,1243.22,0.11675,0.95568,0.99782,0.19101,0.00047838,0.00047838,0.00047838
12,1350.25,0.10888,0.95568,0.99688,0.1475,0.000454818,0.000454818,0.000454818
13,1456.82,0.10584,0.95599,0.99594,0.14679,0.000431256,0.000431256,0.000431256
14,1563.48,0.10364,0.95911,0.99688,0.13517,0.000407694,0.000407694,0.000407694
